case,n,cost_raw,cost_gap,cost_oracle,rt
0,21,1.6974598117081248,1.6974598117081248,1.6974598117081248,30.49
1,22,3.376280105812892,2.4034347097986126,2.4034347097986126,35.38
2,23,2.1016547379384343,2.028052105649965,2.028052105649965,34.89
3,24,1.6422012561271866,1.6422012561271866,1.6422012561271866,39.7
4,25,2.286491576974187,2.286491576974187,2.286491576974187,53.47
5,26,2.4655162130307815,2.085219179042276,2.085219179042276,38.7
6,27,2.5836570400797982,2.5836570400797982,2.5836570400797982,48.65
7,28,2.488354128470296,2.488354128470296,2.488354128470296,50.31
8,29,2.3748141066890684,2.3748141066890684,2.3748141066890684,57.85
9,30,2.125050346438884,2.125050346438884,2.119630290234165,65.67
10,31,2.201000434038174,1.8835408665333238,1.8835408665333238,61.54
11,32,2.0312627869003457,2.0312627869003457,2.0312627869003457,45.77
12,33,10.0,3.1782682921525507,3.1782682921525507,50.2
13,34,1.9593762229065854,1.9147589040684776,1.9147589040684776,45.08
14,35,3.088889181157593,3.123113957316344,3.088889181157593,58.83
15,36,2.003885938731726,1.9673680726653784,1.9673680726653784,62.41
16,37,2.6544480662341328,2.6544480662341328,2.6544480662341328,56.59
17,38,1.9270525746373912,1.8505043897202433,1.8505043897202433,49.74
18,39,2.1743357237812395,2.1743357237812395,2.1743357237812395,61.09
19,40,2.3351542774381255,2.137992664422355,2.137992664422355,41.9
20,41,2.0343199628144033,2.0343199628144033,2.0343199628144033,47.53
21,42,3.2026232563515,3.0919087486954084,3.0919087486954084,63.1
22,43,1.9940331367260318,1.9940331367260318,1.9940331367260318,43.58
23,44,2.329513116135693,2.329513116135693,2.329513116135693,68.42
24,45,2.2253355708840212,2.1186285360921984,2.1186285360921984,65.81
25,46,3.4886752760106505,3.411245188195167,3.291299604216496,73.41
26,47,1.8975806507830608,1.8975806507830608,1.8975806507830608,60.63
27,48,2.6033055513852004,2.476241556079989,2.476241556079989,52.0
28,49,1.9407619458950167,1.9407619458950167,1.9407619458950167,72.89
29,50,3.5767408256384687,3.5767408256384687,3.5767408256384687,84.82
30,51,1.9996022277033147,1.9996022277033147,1.9996022277033147,65.52
31,52,3.0204341555178034,3.0204341555178034,3.0204341555178034,91.49
32,53,2.3243833587571356,2.3243833587571356,2.3243833587571356,68.57
33,54,2.1805550253642245,2.1805550253642245,2.1805550253642245,57.05
34,55,2.284205762343496,2.284205762343496,2.284205762343496,59.13
35,56,2.169667303760994,2.169667303760994,2.1179169847298427,74.1
36,57,2.338123474023346,2.253436885387164,2.253436885387164,77.38
37,58,2.0145618593686936,2.0145618593686936,2.0145618593686936,68.43
38,59,4.073875592723985,4.003967095054031,4.003967095054031,80.27
39,60,1.759721646126928,1.759721646126928,1.759721646126928,52.9
40,61,2.494900523935614,2.4767045308790236,2.4767045308790236,53.37
41,62,2.1261281707553614,2.106579390511936,2.106579390511936,54.54
42,63,3.008858189505323,2.6038478968798398,2.601793507289426,56.48
43,64,3.2825333242730306,3.2825333242730306,3.279702707908734,56.18
44,65,3.352907387613225,2.965043060537465,2.965043060537465,59.04
45,66,2.5029918799280346,2.5029918799280346,2.5029918799280346,59.92
46,67,2.997586148040337,2.959283412904401,2.9470917715725515,62.27
47,68,1.9001533227833025,1.9001533227833025,1.8818521786164408,64.16
48,69,1.8736522571878198,1.8736522571878198,1.8736522571878198,64.45
49,70,3.5204126321229006,3.5204126321229006,3.5204126321229006,64.95
50,71,1.959652398655044,1.9276550708470448,1.9276550708470448,69.64
51,72,3.622971801568648,3.622971801568648,3.622971801568648,67.82
52,73,2.556742462883249,2.503420569112952,2.503420569112952,69.93
53,74,3.147834964056992,3.101768880681458,3.101768880681458,70.89
54,75,2.79123984617758,2.79123984617758,2.79123984617758,41.46
55,76,2.4944512518737496,2.445200701356337,2.445200701356337,42.9
56,77,2.1688926249466713,2.1688926249466713,2.1688926249466713,44.28
57,78,2.4845342111178335,2.4845342111178335,2.4845342111178335,45.02
58,79,1.64349239986234,1.64349239986234,1.64349239986234,46.32
59,80,2.7551264725092426,2.8228236933155477,2.7551264725092426,46.11
60,81,1.7579087369863486,1.7579087369863486,1.7579087369863486,44.86
61,82,2.878881218762826,2.878881218762826,2.878881218762826,44.18
62,83,2.3487760484642553,2.3018183810852832,2.3018183810852832,46.77
63,84,2.881149820083416,2.881149820083416,2.881149820083416,47.05
64,85,2.8680989833987307,2.8680989833987307,2.8680989833987307,49.02
65,86,2.1853786566289024,2.1853786566289024,2.1853786566289024,48.89
66,87,3.0027010330661006,2.348497254843968,2.348497254843968,49.85
67,88,2.240343244952642,2.057224601186467,2.057224601186467,53.26
68,89,3.154124056987023,3.154124056987023,3.154124056987023,51.43
69,90,2.977679912090534,2.977679912090534,2.977679912090534,52.07
70,91,2.6716661888648097,2.6716661888648097,2.6716661888648097,6.73
71,92,1.1961289113842777,1.1961289113842777,1.1961289113842777,6.47
72,93,1.418061920293999,1.418061920293999,1.418061920293999,6.28
73,94,1.0551399774209178,1.0146731416714743,1.0146731416714743,6.45
74,95,1.4824848615500466,1.4824848615500466,1.4824848615500466,6.29
75,96,1.468952287387147,1.468952287387147,1.468952287387147,7.65
76,97,2.069534654038359,2.069534654038359,2.069534654038359,6.52
77,98,1.6874832620623448,1.6474742386313133,1.6474742386313133,6.64
78,99,1.2410034296904848,1.187975562644916,1.187975562644916,6.91
79,100,1.9290489535574475,1.9019663617170053,1.899431821554475,6.85
80,101,1.3767711086162329,1.3767711086162329,1.376494624432294,6.27
81,102,1.3024973025738258,1.0713101409304302,1.0713101409304302,7.14
82,103,1.521746401919088,1.4888231646298327,1.4888231646298327,6.58
83,104,1.4927153980453065,1.4927153980453065,1.4927153980453065,6.79
84,105,1.19640390891553,1.19640390891553,1.1922235179816003,6.26
85,106,1.342516190993268,1.2594580354924432,1.2594580354924432,7.07
86,107,1.3506005535560326,1.3506005535560326,1.3506005535560326,6.46
87,108,1.2178885978539629,1.1852326388063115,1.1852326388063115,7.02
88,109,2.3630728973346566,2.3266449326395082,2.3266449326395082,6.72
89,110,2.2926325774569953,2.2926325774569953,2.2926325774569953,6.6
90,111,1.9534786848094465,1.7560151902598162,1.7560151902598162,6.72
91,112,1.1199355882142605,1.1199355882142605,1.1199355882142605,6.74
92,113,1.4844945468794406,1.4844945468794406,1.4844945468794406,6.49
93,114,1.7044465353468934,1.7044465353468934,1.7044465353468934,6.47
94,115,1.3285100495209938,1.3285100495209938,1.3285100495209938,6.66
95,116,1.186643102476813,1.186643102476813,1.1865139296889176,7.18
96,117,1.295358798469972,1.2323333247731842,1.2323333247731842,6.97
97,118,2.1408234029698487,1.9834725940668172,1.9834725940668172,6.96
98,119,1.5105444865740356,1.5105444865740356,1.5105444865740356,6.77
99,120,1.3081632239306697,1.2958761805196009,1.2958761805196009,7.16
