case,n,tau_raw,tau_gap,max_dh,top1_raw,top1_gap
0,21,0.9427359490986214,0.9618239660657475,2.4542973379538635,1,1
1,22,0.7766749379652605,0.9627791563275434,4.457961534453652,0,1
2,23,0.8220244716351501,0.9599555061179088,2.4242423277979315,0,1
3,24,0.8274687854710556,1.0,1.2034598055993715,1,1
4,25,0.6198830409356724,0.9502923976608186,2.188584321641039,1,1
5,26,0.7639484978540773,0.9442060085836911,2.7262681702453477,0,1
6,27,0.7930258717660292,0.9707536557930259,1.7506786668272345,1,1
7,28,0.8230683090705487,0.9776035834266517,1.8794789605226079,1,1
8,29,0.7868649318463444,0.9851301115241636,1.6977559525905968,1,1
9,30,0.9158200290275761,0.9506531204644411,1.4574957930341381,0,0
10,31,0.8145539906103286,0.9788732394366199,3.0224767767901697,0,1
11,32,0.7709049255441007,0.9152348224513172,1.6561981873243021,1,1
12,33,0.7739557739557739,0.9336609336609336,2.00036709163331,0,1
13,34,0.7750556792873051,0.9866369710467706,1.4791233149380827,0,1
14,35,0.8423772609819121,0.9534883720930232,2.099417793140693,1,0
15,36,0.961352657004831,1.0,1.9507522976296496,0,1
16,37,0.9755011135857461,1.0,2.903635928350566,1,1
17,38,0.6805399325084365,0.9550056242969629,2.567931101186835,0,1
18,39,0.7001239157372986,0.8859975216852539,2.784448882282824,1,1
19,40,0.9246298788694484,1.0,2.538206139657587,0,1
20,41,0.7315634218289087,0.9203539823008852,4.666358466578872,1,1
21,42,0.784888888888889,0.9680000000000001,1.4917258666377935,0,1
22,43,0.9036323202372128,0.9718309859154932,4.097104583283515,1,1
23,44,0.9525756336876534,0.9852820932134099,1.3769720159212813,1,1
24,45,0.5940803382663848,0.9830866807610995,2.954963213769217,0,1
25,46,0.5680000000000001,0.7937777777777779,1.70158500282248,0,0
26,47,0.8663853727144865,0.9578059071729956,1.787011239245301,1,1
27,48,0.872899926953981,0.9415631848064281,1.7056012689050086,0,1
28,49,0.8445839874411302,0.9968602825745682,2.8634776060800697,1,1
29,50,0.9117647058823529,0.9653979238754324,2.2871772725143606,1,1
30,51,0.7675471698113207,0.9758490566037735,1.346497983885384,1,1
31,52,0.8773333333333335,1.0,1.972158540872738,1,1
32,53,0.8257777777777778,0.8026666666666668,2.110569925518474,1,1
33,54,0.8766025641025639,0.9551282051282051,2.0786316116989774,1,1
34,55,0.8137254901960785,0.9362745098039217,1.8018294704079152,1,1
35,56,0.6738197424892703,0.9141630901287554,2.4891793713237114,0,0
36,57,0.7262617621899059,0.9127459366980325,2.9186851564521903,0,1
37,58,0.7316495659037097,0.9068666140489345,3.173374479595407,1,1
38,59,0.8071672354948805,0.9470989761092149,3.040598336202871,0,1
39,60,0.6698319941563184,0.8582907231555881,2.5201146283924145,1,1
40,61,0.8365217391304347,0.9339130434782608,1.6330050857356508,0,1
41,62,0.7590149516270888,0.8909410729991204,2.875856388666405,0,1
42,63,0.7871244635193133,0.9261802575107296,2.303720442478722,0,0
43,64,0.7519247219846021,0.9503849443969205,6.201600576092173,0,0
44,65,0.7150214592274677,0.9467811158798284,2.5328647437554483,0,1
45,66,0.7729257641921397,0.9371179039301308,1.8601683598450656,1,1
46,67,0.7440000000000001,0.9377777777777778,2.380019111081351,0,0
47,68,0.6320000000000001,0.768888888888889,1.776332607879108,0,0
48,69,0.7937777777777779,0.9786666666666668,1.876365354629966,1,1
49,70,0.5466666666666666,0.9235555555555557,2.6689174366640005,1,1
50,71,0.7366666666666665,0.9366666666666664,2.518751786527363,0,1
51,72,0.7066666666666667,0.8826666666666667,2.5466856141825485,1,1
52,73,0.8284228769497399,0.97053726169844,2.0327439318190677,0,1
53,74,0.8524444444444446,0.944888888888889,2.3720756556119116,0,1
54,75,0.7191111111111111,0.960888888888889,2.5624204868596507,1,1
55,76,0.9094076655052266,0.9477351916376306,2.2283203748205658,0,1
56,77,0.7976782752902157,0.9668325041459371,4.45111597052717,1,1
57,78,0.7457777777777779,0.9022222222222223,1.9737533122219686,1,1
58,79,0.7648068669527897,0.9553648068669529,2.283533009373435,1,1
59,80,0.859982713915298,0.9878997407087292,2.1222393579869747,1,0
60,81,0.9049265341400171,0.9585133967156437,1.9338968871712658,1,1
61,82,0.7475555555555556,0.9217777777777779,3.1959705878011166,1,1
62,83,0.8219533275713049,0.9723422644770957,2.2064899715718065,0,1
63,84,0.6853932584269661,0.8841832324978391,2.3967797544929743,1,1
64,85,0.8986666666666668,0.944888888888889,2.129633654641904,1,1
65,86,0.5661192739844424,0.9204840103716506,3.617947596028757,1,1
66,87,0.7053497942386833,0.9160493827160495,3.7102134022632174,0,1
67,88,0.7100494233937398,0.9110378912685339,3.880497032114354,0,1
68,89,0.5831134564643798,0.8874230430958663,2.294646341834411,1,1
69,90,0.784888888888889,0.9022222222222223,1.9688376868520006,1,1
70,91,0.6569920844327176,0.9683377308707123,3.0401187807035215,1,1
71,92,0.5965665236051503,0.8763948497854077,2.9366411362143694,1,1
72,93,0.7088388214904678,0.8804159445407278,1.861494453948236,1,1
73,94,0.7920277296360484,0.972270363951473,2.068931203343568,0,1
74,95,0.5714285714285714,0.9233449477351917,3.1814116916742456,1,1
75,96,0.8440207972270363,0.9549393414211437,2.9567603570139425,1,1
76,97,0.9128888888888891,0.9466666666666668,2.4394369471440487,1,1
77,98,0.8557607739665786,0.9050131926121371,1.5026881083788188,0,1
78,99,0.6888504753673292,0.9170267934312877,2.4352498484833203,0,1
79,100,0.7001733102253032,0.923743500866551,3.2323221752232967,0,0
80,101,0.7735849056603773,0.8885077186963979,1.9349170010168766,0,0
81,102,0.8063958513396714,0.9533275713050993,2.6271207467319817,0,1
82,103,0.8370883882149046,0.9324090121317157,2.370164093796609,0,1
83,104,0.6906666666666668,0.8826666666666667,2.61629894526269,1,1
84,105,0.764808362369338,0.8954703832752614,2.1441337580529556,0,0
85,106,0.6646499567847881,0.9412273120138288,2.6453070676402506,0,1
86,107,0.7902222222222223,0.9395555555555556,2.296979926486656,1,1
87,108,0.7939914163090129,0.9450643776824035,1.902613569969349,0,1
88,109,0.8408304498269896,0.9688581314878891,2.4351514932663716,0,1
89,110,0.7115215479331574,0.8944591029023745,2.759370984009909,1,1
90,111,0.8344947735191638,0.9721254355400697,2.476409510854482,0,1
91,112,0.5401901469317199,0.9412273120138288,2.29740095922754,1,1
92,113,0.753064798598949,0.9719789842381784,3.034156729076859,1,1
93,114,0.7777777777777778,0.9733333333333334,1.9219196320042788,1,1
94,115,0.8423817863397546,0.9106830122591942,1.9274305197316777,1,1
95,116,0.6715643906655141,0.8876404494382021,78.44945143438748,0,0
96,117,0.8607050730868442,0.9570077386070507,2.0351678008532805,0,1
97,118,0.6154506437768241,0.9570815450643778,3.2293588449436794,0,1
98,119,0.7355229040622298,0.9256698357821952,2.5272270952030693,1,1
99,120,0.7247386759581882,0.9163763066202091,2.353393684482408,0,1
