case,n,cost_raw,cost_gap,cost_oracle,rt
0,21,2.215208284615467,1.9547717228329504,1.9547717228329504,34.37
1,22,1.9791716022133634,1.9791716022133634,1.9791716022133634,31.6
2,23,1.8672311452309143,1.8672311452309143,1.8672311452309143,33.97
3,24,1.7375476757759152,1.7375476757759152,1.7375476757759152,34.32
4,25,2.2868024807870753,2.2868024807870753,2.2868024807870753,54.11
5,26,2.6589076870387256,2.5345318862877195,2.5345318862877195,50.35
6,27,2.5836570400797982,2.5836570400797982,2.5836570400797982,49.21
7,28,2.526835128632044,2.526835128632044,2.526835128632044,53.56
8,29,2.3719379181065117,2.3719379181065117,2.3719379181065117,58.28
9,30,1.9690680212344014,1.9690680212344014,1.964045806413049,51.52
10,31,2.1319072993938617,1.8244133258537045,1.8244133258537045,55.97
11,32,1.8870578586511066,1.8870578586511066,1.8870578586511066,36.22
12,33,10.0,10.0,3.1114106477584293,55.47
13,34,1.9473153666498586,1.9473153666498586,1.9473153666498586,44.67
14,35,2.956799015257564,2.9895602373373027,2.956799015257564,51.44
15,36,1.9473039738305054,1.91181723063203,1.91181723063203,57.38
16,37,2.5988252157775387,2.5988252157775387,2.5988252157775387,53.34
17,38,1.9255281410726979,1.849040511131548,1.849040511131548,50.18
18,39,2.251300531295863,2.251300531295863,2.251300531295863,69.39
19,40,2.474281746408945,2.4302874255167026,2.4302874255167026,51.4
20,41,1.7008372189363332,1.7008372189363332,1.7008372189363332,51.07
21,42,3.1946773461092683,3.0842375281278374,3.0842375281278374,63.3
22,43,1.977568247193545,1.977568247193545,1.977568247193545,42.88
23,44,2.317754974350166,2.317754974350166,2.317754974350166,68.05
24,45,2.238705188177452,2.131357067054044,2.131357067054044,67.91
25,46,3.455251074597305,3.4197719276212544,3.2597664140570513,71.91
26,47,1.849011340159596,1.849011340159596,1.849011340159596,56.25
27,48,2.5922849530257728,2.363439578002499,2.363439578002499,51.86
28,49,1.8886986089562356,1.8886986089562356,1.8886986089562356,67.34
29,50,3.3545108351510877,3.116209437849309,3.116209437849309,69.28
30,51,2.061222121027797,2.061222121027797,2.061222121027797,73.33
31,52,2.999078471980098,2.999078471980098,2.999078471980098,90.38
32,53,2.2971775944710817,2.2971775944710817,2.2971775944710817,66.69
33,54,2.2693650350030588,2.2693650350030588,2.2693650350030588,65.92
34,55,2.5233845853757866,2.505122707950352,2.505122707950352,55.95
35,56,2.1542299025373017,2.1542299025373017,2.102847792234259,73.19
36,57,2.3233108254658386,2.2391607494171817,2.2391607494171817,76.63
37,58,1.998898572239251,1.998898572239251,1.998898572239251,67.44
38,59,4.055201726090578,3.985613675604717,3.985613675604717,79.96
39,60,1.8939817612716747,1.8939817612716747,1.8939817612716747,68.37
40,61,2.469443921691714,2.451433590609712,2.451433590609712,52.17
41,62,2.0195917197440743,2.001022493648598,2.001022493648598,46.48
42,63,3.0071169654589562,2.6023410519953107,2.600287851278659,57.02
43,64,3.264628193032776,3.264628193032776,3.2618130167424977,55.8
44,65,3.3323877274900187,2.9468971147002283,2.9468971147002283,58.51
45,66,2.4756401019724197,2.4756401019724197,2.4756401019724197,58.43
46,67,2.9667095670267245,2.9288013685099417,2.9206788630635154,60.85
47,68,1.8844686613382877,1.8844686613382877,1.8663185824811943,63.13
48,69,1.8751005924205404,1.8751005924205404,1.8751005924205404,65.36
49,70,3.4995697806768615,3.4995697806768615,3.4995697806768615,64.41
50,71,1.9434593662561428,1.911726439301187,1.911726439301187,68.52
51,72,3.5831609426261064,3.5831609426261064,3.5831609426261064,66.12
52,73,2.5239967359819686,2.4713577675342684,2.4713577675342684,67.76
53,74,3.1230330129594037,3.0773298865877097,3.0773298865877097,69.84
54,75,2.7562425485329367,2.7562425485329367,2.7562425485329367,40.21
55,76,2.4726066714614583,2.4237874212592225,2.4237874212592225,42.14
56,77,2.143417735150295,2.143417735150295,2.143417735150295,43.06
57,78,2.462067136955652,2.462067136955652,2.462067136955652,44.18
58,79,1.627062356399201,1.627062356399201,1.627062356399201,45.31
59,80,2.7264112269167047,2.7934028749150888,2.7264112269167047,45.04
60,81,1.7595761378567298,1.7595761378567298,1.7595761378567298,45.52
61,82,2.87270946623862,2.87270946623862,2.87270946623862,44.37
62,83,2.326206848546964,2.2797003936126257,2.2797003936126257,45.81
63,84,2.859316246625903,2.859316246625903,2.859316246625903,46.4
64,85,2.8324584064727785,2.8324584064727785,2.8324584064727785,47.56
65,86,2.168350920258063,2.168350920258063,2.168350920258063,48.18
66,87,3.0150786262016287,2.358178119898549,2.358178119898549,51.12
67,88,2.212712641102171,2.0318524364010537,2.0318524364010537,51.69
68,89,3.1309716949192956,3.1309716949192956,3.1309716949192956,50.76
69,90,2.951819126306837,2.951819126306837,2.951819126306837,51.16
70,91,2.6716661888648097,2.6716661888648097,2.6716661888648097,6.3
71,92,1.1961289113842777,1.1961289113842777,1.1961289113842777,6.1
72,93,1.418061920293999,1.418061920293999,1.418061920293999,6.1
73,94,1.0551399774209178,1.0146731416714743,1.0146731416714743,6.59
74,95,1.4824848615500466,1.4824848615500466,1.4824848615500466,6.15
75,96,1.468952287387147,1.468952287387147,1.468952287387147,7.29
76,97,2.069534654038359,2.069534654038359,2.069534654038359,6.27
77,98,1.6874832620623448,1.6474742386313133,1.6474742386313133,7.15
78,99,1.2410034296904848,1.187975562644916,1.187975562644916,7.0
79,100,1.9290489535574475,1.9019663617170053,1.899431821554475,7.49
80,101,1.3767711086162329,1.3767711086162329,1.376494624432294,6.83
81,102,1.3024973025738258,1.0713101409304302,1.0713101409304302,6.52
82,103,1.521746401919088,1.4888231646298327,1.4888231646298327,6.44
83,104,1.4927153980453065,1.4927153980453065,1.4927153980453065,6.33
84,105,1.19640390891553,1.19640390891553,1.1922235179816003,6.39
85,106,1.342516190993268,1.2594580354924432,1.2594580354924432,7.14
86,107,1.3506005535560326,1.3506005535560326,1.3506005535560326,6.73
87,108,1.2178885978539629,1.1852326388063115,1.1852326388063115,7.05
88,109,2.3630728973346566,2.3266449326395082,2.3266449326395082,6.68
89,110,2.2926325774569953,2.2926325774569953,2.2926325774569953,7.43
90,111,1.9534786848094465,1.7560151902598162,1.7560151902598162,6.52
91,112,1.1199355882142605,1.1199355882142605,1.1199355882142605,6.93
92,113,1.4844945468794406,1.4844945468794406,1.4844945468794406,6.7
93,114,1.7044465353468934,1.7044465353468934,1.7044465353468934,6.84
94,115,1.3285100495209938,1.3285100495209938,1.3285100495209938,7.08
95,116,1.186643102476813,1.186643102476813,1.1865139296889176,6.66
96,117,1.295358798469972,1.2323333247731842,1.2323333247731842,6.64
97,118,2.1408234029698487,1.9834725940668172,1.9834725940668172,7.32
98,119,1.5105444865740356,1.5105444865740356,1.5105444865740356,7.25
99,120,1.3081632239306697,1.2958761805196009,1.2958761805196009,6.89
