case,n,tau_raw,tau_gap,max_dh,top1_raw,top1_gap
0,21,0.7297297297297298,0.9557739557739557,1.7351752880514595,0,1
1,22,0.8220720720720721,0.9527027027027026,4.457961534453652,1,1
2,23,0.7827102803738318,1.0,1.1182530829394488,1,1
3,24,0.8593073593073592,0.9848484848484848,1.4806975255612342,1,1
4,25,0.7192982456140351,0.9824561403508771,2.188584321641039,1,1
5,26,0.7213541666666667,0.9218750000000001,2.7262681702453477,0,1
6,27,0.775255391600454,0.9432463110102158,1.8759155795933282,1,1
7,28,0.7997750281214848,0.9797525309336333,1.8794789605226079,1,1
8,29,0.8364312267657993,0.9553903345724906,1.6977559525905968,1,1
9,30,0.9139784946236559,0.9737156511350059,1.4574957930341381,0,0
10,31,0.7536394176931691,0.9462486002239643,3.0224767767901697,0,1
11,32,0.9089968976215098,0.9627714581178904,1.8818414983097336,1,1
12,33,0.7203647416413375,0.8449848024316111,2.00036709163331,0,0
13,34,0.7730994152046784,1.0,1.4791233149380827,1,1
14,35,0.9443207126948775,0.9599109131403119,2.099417793140693,1,0
15,36,0.9654676258992805,0.9999999999999999,2.0650274341927024,0,1
16,37,0.9398663697104678,0.9866369710467706,2.903635928350566,1,1
17,38,0.7596566523605152,0.9763948497854078,2.567931101186835,0,1
18,39,0.8088012139605463,0.9180576631259484,2.784448882282824,1,1
19,40,0.8667563930013461,0.9878869448183044,2.538206139657587,0,1
20,41,0.6140350877192982,0.9154704944178629,4.666358466578872,1,1
21,42,0.7084444444444445,0.9680000000000001,1.5332933355105982,0,1
22,43,0.8658806190125276,0.9778924097273397,4.097104583283515,1,1
23,44,0.9035159443990189,0.9558462796402293,1.187812683464161,1,1
24,45,0.64490095377843,0.9647835656639766,2.954963213769217,0,1
25,46,0.5555555555555557,0.8257777777777778,1.608436561210653,0,0
26,47,0.8509142053445848,0.9423347398030941,1.8877988069351925,1,1
27,48,0.839063643013899,0.9414776883686906,1.7056012689050086,0,1
28,49,0.779622641509434,0.9456603773584905,2.7759548818493243,1,1
29,50,0.8357256778309409,0.9473684210526314,1.943118824452216,0,1
30,51,0.9033962264150943,0.990943396226415,1.3673928094542833,1,1
31,52,0.8666666666666668,0.9146666666666667,1.972158540872738,1,1
32,53,0.8684444444444445,0.8773333333333335,1.85255656422549,1,1
33,54,0.7932692307692306,0.9134615384615382,2.0478904791462917,1,1
34,55,0.7568627450980394,0.9043137254901963,3.4637105172896026,0,1
35,56,0.6646499567847881,0.9550561797752808,2.4891793713237114,0,0
36,57,0.6858369098712447,0.9124463519313305,2.9186851564521903,0,1
37,58,0.7048145224940805,0.9131807419100239,3.173374479595407,1,1
38,59,0.8118049615055603,0.9692044482463644,3.040598336202871,0,1
39,60,0.7979479084451461,0.8973954222573008,2.5201146283924145,1,1
40,61,0.76,0.8695652173913043,1.6330050857356508,0,1
41,62,0.7927125506072874,0.9093117408906882,2.875856388666405,0,1
42,63,0.7459227467811159,0.9244635193133047,2.303720442478722,0,0
43,64,0.7485029940119761,0.9520958083832335,6.201600576092173,0,0
44,65,0.7113223854796887,0.9429559204840102,2.5328647437554483,0,1
45,66,0.7449781659388646,0.9371179039301308,1.8601683598450656,1,1
46,67,0.8097777777777779,0.8951111111111112,2.380019111081351,0,0
47,68,0.5680000000000001,0.8222222222222223,1.965129589843373,0,0
48,69,0.7671111111111112,0.9680000000000001,1.876365354629966,1,1
49,70,0.6693333333333334,0.928888888888889,2.193735563801688,1,1
50,71,0.7983333333333332,0.9433333333333332,2.623854058107087,0,1
51,72,0.8577777777777779,0.9217777777777779,2.5466856141825485,1,1
52,73,0.773160173160173,0.9186147186147184,2.0900032819670478,0,1
53,74,0.8346666666666668,0.9413333333333335,2.3720756556119116,0,1
54,75,0.704888888888889,0.9893333333333335,2.5624204868596507,1,1
55,76,0.9163763066202091,0.9738675958188154,2.2234246853510995,0,1
56,77,0.8076285240464347,0.9601990049751244,4.45111597052717,1,1
57,78,0.7528888888888889,0.8880000000000001,1.9737533122219686,1,1
58,79,0.8025751072961375,0.9587982832618027,2.283533009373435,1,1
59,80,0.8720829732065686,0.9775280898876402,2.2568956885965368,1,0
60,81,0.8115816767502159,0.9239412273120137,2.263337309083548,1,1
61,82,0.8435555555555557,0.8631111111111113,3.3030207615974847,1,1
62,83,0.8012100259291269,0.9602420051858253,2.2064899715718065,0,1
63,84,0.696137339055794,0.8626609442060086,2.3967797544929743,1,1
64,85,0.9093333333333334,0.9235555555555557,2.129633654641904,1,1
65,86,0.5557476231633535,0.8789974070872946,3.617947596028757,1,1
66,87,0.6998341625207298,0.9054726368159206,3.7102134022632174,0,1
67,88,0.7166392092257002,0.914332784184514,3.880497032114354,0,1
68,89,0.6481970096745822,0.9648197009674582,2.294646341834411,1,1
69,90,0.7635555555555557,0.8808888888888889,2.067176710558656,1,1
70,91,0.6675461741424802,0.9718557607739665,3.0401187807035215,1,1
71,92,0.5868625756266205,0.9066551426101986,2.9366411362143694,1,1
72,93,0.6984402079722704,0.8925476603119583,1.861494453948236,1,1
73,94,0.826689774696707,0.9688041594454072,2.068931203343568,0,1
74,95,0.6602787456445993,0.8954703832752614,3.1814116916742456,1,1
75,96,0.7660311958405545,0.9445407279029462,2.9567603570139425,1,1
76,97,0.7422222222222222,0.9306666666666668,2.4394369471440487,1,1
77,98,0.9318777292576419,0.9493449781659388,1.4960078226760094,0,1
78,99,0.7061365600691442,0.9394987035436472,2.4352498484833203,0,1
79,100,0.6741767764298093,0.9150779896013864,3.2323221752232967,0,0
80,101,0.8012100259291269,0.9152981849611062,1.9349170010168766,0,0
81,102,0.7078651685393257,0.9515989628349176,2.6271207467319817,0,1
82,103,0.8457538994800692,0.9445407279029462,2.370164093796609,0,1
83,104,0.688888888888889,0.9111111111111112,2.61629894526269,1,1
84,105,0.7491289198606272,0.9337979094076655,2.1441337580529556,0,0
85,106,0.6992221261884182,0.9515989628349176,2.6453070676402506,0,1
86,107,0.6906666666666668,0.9395555555555556,2.296979926486656,1,1
87,108,0.8477331052181352,0.9538066723695466,1.9055512897035485,0,1
88,109,0.801038062283737,0.9377162629757786,2.4351514932663716,0,1
89,110,0.7150395778364116,0.9085312225153913,2.759370984009909,1,1
90,111,0.7909407665505227,0.9721254355400697,2.449966577176673,0,1
91,112,0.6240343347639484,0.9296137339055794,2.29740095922754,1,1
92,113,0.7705779334500874,0.9772329246935199,3.034156729076859,1,1
93,114,0.6177777777777779,0.8720000000000001,1.7512409050394546,1,1
94,115,0.74430823117338,0.9316987740805602,1.9274305197316777,1,1
95,116,0.6274678111587982,0.8678111587982833,78.44945143438748,0,0
96,117,0.8108340498710231,0.9570077386070507,2.0299748309390644,0,1
97,118,0.4814174589455487,0.9567847882454623,3.2293588449436794,0,1
98,119,0.7752808988764044,0.9343128781331027,2.5272270952030693,1,1
99,120,0.5313588850174216,0.9407665505226481,2.353393684482408,0,1
