case,n,cost_raw,cost_gap,cost_oracle,rt
0,21,2.173978241212021,1.8753488695022065,1.8753488695022065,31.78
1,22,2.007880630463893,2.007880630463893,2.007880630463893,30.55
2,23,2.0179016620851233,2.0179016620851233,2.0179016620851233,35.37
3,24,1.799859951490202,1.799859951490202,1.799859951490202,39.75
4,25,2.2527747171602277,2.2527747171602277,2.2527747171602277,53.01
5,26,2.535376305473441,2.4167789356829967,2.4167789356829967,44.25
6,27,2.6124911829264748,2.6124911829264748,2.6124911829264748,52.59
7,28,2.5293067877354147,2.5293067877354147,2.5293067877354147,55.34
8,29,2.4173763677669227,2.4173763677669227,2.4173763677669227,63.94
9,30,2.0321512553282854,2.0321512553282854,2.0269681432957505,58.94
10,31,2.1518610449005373,1.8414890585618868,1.8414890585618868,59.46
11,32,1.9943181615624557,1.9943181615624557,1.9943181615624557,44.85
12,33,10.0,2.9599069720178317,2.9599069720178317,53.45
13,34,1.8530302259512985,1.766597336983312,1.766597336983312,38.99
14,35,3.0046699767735876,3.0379616073096685,3.0046699767735876,55.89
15,36,1.9633222975651747,1.9275436440391482,1.9275436440391482,60.73
16,37,2.5298175946183945,2.5298175946183945,2.5298175946183945,50.22
17,38,1.9566919343066633,1.8789663870203461,1.8789663870203461,54.52
18,39,2.0807670044248052,2.0807670044248052,2.0807670044248052,54.96
19,40,2.5475057363106,2.5022094457807373,2.5022094457807373,58.34
20,41,1.8022175192467156,1.8022175192467156,1.8022175192467156,51.92
21,42,3.169889064214225,3.060306175757741,3.060306175757741,63.52
22,43,2.2410034012052904,2.2410034012052904,2.2410034012052904,67.0
23,44,2.3340627214109975,2.3340627214109975,2.3340627214109975,71.74
24,45,2.116460718165799,2.0149743399117863,2.0149743399117863,58.0
25,46,3.4373944193097556,3.402098627720555,3.2429200188408855,72.79
26,47,1.8350007697248079,1.8350007697248079,1.8350007697248079,56.48
27,48,2.609777734822394,2.55782203872257,2.55782203872257,54.62
28,49,1.9168693116936848,1.9168693116936848,1.9168693116936848,72.86
29,50,3.5288892966382477,3.5288892966382477,3.5288892966382477,84.48
30,51,1.9844937467169175,1.9844937467169175,1.9844937467169175,66.55
31,52,2.986354605681847,2.986354605681847,2.986354605681847,91.77
32,53,2.2876782430788403,2.2876782430788403,2.2876782430788403,67.74
33,54,2.1951843516674105,2.1951843516674105,2.1951843516674105,60.77
34,55,2.316089661250961,2.316089661250961,2.316089661250961,54.8
35,56,2.146080256589787,2.094892529442652,2.094892529442652,74.43
36,57,2.3059460482083876,2.2224249225828796,2.2224249225828796,76.97
37,58,1.8398153876032755,1.8398153876032755,1.8398153876032755,52.68
38,59,4.024820745593544,3.9557540386430827,3.9557540386430827,80.31
39,60,1.8648785047109586,1.8648785047109586,1.8648785047109586,66.87
40,61,2.4599087625343476,2.4419679739804567,2.4419679739804567,53.04
41,62,2.0954638905918683,2.0761970544393424,2.0761970544393424,54.13
42,63,2.9769106587031415,2.5762006946355087,2.5741681181949962,56.78
43,64,3.2445988749194528,3.2445988749194528,3.241800970446401,56.3
44,65,3.3221008707160276,2.937800241519315,2.937800241519315,59.64
45,66,2.467644171165323,2.467644171165323,2.467644171165323,59.53
46,67,2.9613339409223625,2.923494431401557,2.923494431401557,62.29
47,68,1.8835480041863584,1.8835480041863584,1.8654067925501696,64.91
48,69,1.8545102497215977,1.8545102497215977,1.8545102497215977,64.88
49,70,3.4686418190536874,3.4686418190536874,3.4686418190536874,64.4
50,71,1.933929637471254,1.902352312528196,1.902352312528196,69.42
51,72,3.5940911124884445,3.5940911124884445,3.5940911124884445,68.79
52,73,2.5219970211901233,2.469399757599776,2.469399757599776,69.6
53,74,3.111569875308649,3.066034502920501,3.066034502920501,71.05
54,75,2.7645764094152394,2.7645764094152394,2.7645764094152394,41.83
55,76,2.469374646528089,2.4206192095621857,2.4206192095621857,43.21
56,77,2.1434715674911273,2.1434715674911273,2.1434715674911273,44.35
57,78,2.451958187346899,2.451958187346899,2.451958187346899,44.88
58,79,1.6262931004708348,1.6262931004708348,1.6262931004708348,46.59
59,80,2.7236672109693147,2.7905914347476712,2.7236672109693147,46.23
60,81,1.736946003293521,1.736946003293521,1.736946003293521,44.9
61,82,2.8472615658280667,2.8472615658280667,2.8472615658280667,44.36
62,83,2.3150739875168753,2.2687901051796855,2.2687901051796855,46.43
63,84,2.8592074649424535,2.8592074649424535,2.8592074649424535,47.78
64,85,2.8369483451507778,2.8369483451507778,2.8369483451507778,49.24
65,86,2.155290618126929,2.155290618126929,2.155290618126929,48.63
66,87,2.9808313008258005,2.3313923197988458,2.3313923197988458,50.68
67,88,2.205024087781867,2.0247923213612276,2.0247923213612276,52.62
68,89,3.1211197267417914,3.1211197267417914,3.1211197267417914,51.73
69,90,2.944093626479287,2.944093626479287,2.944093626479287,52.23
70,91,2.6716661888648097,2.6716661888648097,2.6716661888648097,6.37
71,92,1.1961289113842777,1.1961289113842777,1.1961289113842777,6.35
72,93,1.418061920293999,1.418061920293999,1.418061920293999,6.44
73,94,1.0551399774209178,1.0146731416714743,1.0146731416714743,6.35
74,95,1.4824848615500466,1.4824848615500466,1.4824848615500466,6.38
75,96,1.468952287387147,1.468952287387147,1.468952287387147,6.51
76,97,2.069534654038359,2.069534654038359,2.069534654038359,6.36
77,98,1.6874832620623448,1.6474742386313133,1.6474742386313133,6.63
78,99,1.2410034296904848,1.187975562644916,1.187975562644916,6.69
79,100,1.9290489535574475,1.9019663617170053,1.899431821554475,6.31
80,101,1.3767711086162329,1.3767711086162329,1.376494624432294,6.68
